Country,Gold,Silver,Bronze,Total
United States,26,23,18,67
China,19,15,16,50
Australia,13,9,8,30
Japan,8,3,7,18
Netherlands,8,5,8,21
New Zealand,8,4,2,14
Italy,7,4,4,15
South Korea,7,5,5,17
Great Britain,6,7,15,28
Canada,6,5,6,17
France (host),4,11,8,23
Germany,3,6,6,15
Brazil,3,4,5,12
Kenya,3,1,3,7
Hungary,2,2,4,8
Ukraine,2,2,2,6
Sweden,2,1,2,5
Norway,2,,2,4
Algeria,2,,,2
Slovenia,2,,,2
Spain,1,2,1,4
Uzbekistan,1,1,,2
Belgium,1,,4,5
Poland,1,3,4,8
Romania,1,4,1,6
Switzerland,1,1,3,5
Ireland,1,,1,2
Croatia,1,1,2,4
Taiwan,1,,3,4
South Africa,1,2,,3
Thailand,1,,2,3
Hong Kong,1,,2,3
"Dominican
Republic",1,,,1
Brunei,1,1,,2
Chile,1,,,1
Guatemala,1,,,1
Saint Lucia,1,1,,2
Bahrain,1,,,1
Dominica,1,,,1
Iran,,1,1,2
Cuba,,1,2,3
Denmark,,1,2,3
Greece,,,1,1
Turkey,,2,3,5
Georgia,,,,0
Bulgaria,,1,1,2
Azerbaijan,,,,0
Kazakhstan,,,1,1
Israel,,4,,4
Jamaica,,1,,1
Kyrgyzstan,,1,1,2
India,,,1,1
North Korea,,1,3,4
Czech Republic,,,1,1
Serbia,,1,,1
Austria,,,2,2
Ecuador,,1,2,3
Mexico,,1,1,2
Philippines,,,2,2
Indonesia,,,1,1
Portugal,,,1,1
Ethiopia,,2,,2
Armenia,,,,0
Moldova,,1,,1
Colombia,,1,1,2
Lithuania,,1,1,2
Tunisia,,,,0
Egypt,,1,,1
Uganda,,1,1,2
Argentina,,,1,1
Tajikistan,,,,0
Botswana,,,,0
Morocco,,,,0
Albania,,,,0
Grenada,,,,0
Malaysia,,,,0
Qatar,,,1,1
Kosovo,,1,1,2
Pakistan,,,,0
Cabo Verde,,,,0
Cape Verde,,,,0
Cyprus,,,,0
Fiji,,,,0
Ivory Coast,,,,0
Jordan,,,,0
Peru,,,,0
Singapore,,,,0
Slovakia,,,,0
Zambia,,,,0
Mongolia,,1,,1
Panama,,1,,1
Puerto Rico,,,1,1
"Refugee
Olympic Team",,,1,1
Côte d'Ivoire,,,,0
Afghanistan,,,,0
"American
Samoa",,,,0
Andorra,,,,0
Angola,,,,0
"Antigua and
Barbuda",,,,0
Aruba,,,,0
Bahamas,,,,0
Barbados,,,,0
Belize,,,,0
Benin,,,,0
Bermuda,,,,0
Bhutan,,,,0
Bolivia,,,,0
"Bosnia and
Herzegovina",,,,0
"British Virgin
Islands",,,,0
Burkina Faso,,,,0
Burundi,,,,0
Cambodia,,,,0
Cameroon,,,,0
Cayman Islands,,,,0
"Central African
Republic",,,,0
Chad,,,,0
Comoros,,,,0
Congo,,,,0
Cook Islands,,,,0
Costa Rica,,,,0
Democratic Republic of the Congo,,,,0
Djibouti,,,,0
El Salvador,,,,0
"Equatorial
Guinea",,,,0
Eritrea,,,,0
Estonia,,,,0
Eswatini,,,,0
"Federated States of
Micronesia",,,,0
Finland,,,,0
Gabon,,,,0
Gambia,,,,0
Ghana,,,,0
Guam,,,,0
Guinea,,,,0
Guinea-Bissau,,,,0
Guyana,,,,0
Haiti,,,,0
Honduras,,,,0
Iceland,,,,0
Individual Neutral Athletes,,,,0
Iraq,,,,0
Kiribati,,,,0
Kuwait,,,,0
Lao People’s Democratic Republic,,,,0
Latvia,,,,0
Lebanon,,,,0
Lesotho,,,,0
Liberia,,,,0
Libya,,,,0
Liechtenstein,,,,0
Luxembourg,,,,0
Madagascar,,,,0
Malawi,,,,0
Maldives,,,,0
Mali,,,,0
Malta,,,,0
Marshall Islands,,,,0
Mauritania,,,,0
Mauritius,,,,0
Monaco,,,,0
Montenegro,,,,0
Mozambique,,,,0
Myanmar,,,,0
Namibia,,,,0
Nauru,,,,0
Nepal,,,,0
Nicaragua,,,,0
Niger,,,,0
Nigeria,,,,0
North Macedonia,,,,0
Oman,,,,0
Palau,,,,0
Palestine,,,,0
"Papua New
Guinea",,,,0
Paraguay,,,,0
Rwanda,,,,0
"Saint Kitts and
Nevis",,,,0
Saint Vincent and the Grenadines,,,,0
Samoa,,,,0
San Marino,,,,0
"Sao Tome and
Principe",,,,0
Saudi Arabia,,,,0
Senegal,,,,0
Seychelles,,,,0
Sierra Leone,,,,0
Solomon Islands,,,,0
Somalia,,,,0
South Sudan,,,,0
Sri Lanka,,,,0
Sudan,,,,0
Suriname,,,,0
Syria,,,,0
Tanzania,,,,0
Timor-Leste,,,,0
Togo,,,,0
Tonga,,,,0
"Trinidad and
Tobago",,,,0
Turkmenistan,,,,0
Tuvalu,,,,0
"United Arab
Emirates",,,,0
Uruguay,,,,0
Vanuatu,,,,0
Venezuela,,,,0
Vietnam,,,,0
"Virgin
Islands British",,,,0
"Virgin Islands,
US",,,,0
Yemen,,,,0
Zimbabwe,,,,0
